Rank,book title,book price,rating,author,year of publication,genre,url
1,Neon Pages,14.99,4.7,A. Data,2024,"Science Fiction, Technology",https://example.com/neon-pages
2,Midnight Library Logs,9.99,4.3,M. Reader,2023,"Fiction, Mystery",https://example.com/midnight-library-logs
3,Code and Coffee,19.50,4.8,C. Analyst,2025,"Nonfiction, Technology",https://example.com/code-and-coffee
4,Retro Future Notes,12.00,4.1,N. Cyber,2022,"Design, Nonfiction",https://example.com/retro-future-notes
5,The Last Bookmark,8.75,4.0,L. Archive,2021,"Fiction, Drama",https://example.com/the-last-bookmark
6,Signal Through Paper,16.20,4.6,R. Vale,2024,"Science Fiction, Mystery",https://example.com/signal-through-paper
7,Data Ghosts,11.40,3.9,T. Morgan,2020,"Technology, Thriller",https://example.com/data-ghosts
8,Arcade Essays,13.30,4.4,V. Silva,2023,"Essays, Design",https://example.com/arcade-essays
9,Quiet Algorithms,21.00,4.9,I. Torres,2025,"Technology, Nonfiction",https://example.com/quiet-algorithms
10,Paper Cities,10.25,4.2,S. Lane,2022,"Fiction, Urban Fantasy",https://example.com/paper-cities
11,Night Market Index,17.80,4.5,K. Martins,2024,"Business, Technology",https://example.com/night-market-index
12,Blue Static Poems,7.90,3.8,E. North,2019,"Poetry, Fiction",https://example.com/blue-static-poems
